"","Weight","Conference","ELO","ActualFinish","ExpectedFinish"
"573",184,"EIWA",1380.72,"cons 12","E[cons 12]"
"575",184,"EIWA",1399.22,"AA","E[AA]"
"577",184,"EIWA",1317.89,"cons 32","E[cons 32]"
"578",184,"EIWA",1347.65,"cons 24","E[cons 24]"
"579",184,"EIWA",1315.78,"cons 16","E[cons 32]"
"583",184,"EIWA",1420.43,"cons 12","E[AA]"
"585",184,"EIWA",1347.21,"cons 24","E[cons 24]"
"589",184,"EWL",1352.57,"cons 32","E[cons 16]"
"592",184,"EWL",1315.59,"cons 24","E[cons 32]"
"595",184,"MAC",1351.7,"cons 16","E[cons 24]"
"596",184,"MAC",1252.28,"cons 32","E[NQ]"
"597",184,"MAC",1285.11,"cons 24","E[NQ]"
"598",184,"MAC",1307.39,"cons 24","E[cons 32]"
"605",184,"Pac 12",1301.33,"cons 32","E[NQ]"
"609",184,"SoCon",1393.77,"cons 12","E[cons 12]"
"610",184,"SoCon",1338.92,"cons 33","E[cons 24]"
"617",197,"ACC",1432.04,"AA","E[AA]"
"618",197,"ACC",1406.84,"AA","E[AA]"
"625",197,"Big 12",1367.78,"AA","E[cons 12]"
"627",197,"Big 12",1290.29,"cons 32","E[NQ]"
"629",197,"Big 12",1345.69,"cons 12","E[cons 24]"
"630",197,"Big 12",1287.58,"cons 32","E[NQ]"
"631",197,"Big 12",1359.66,"cons 16","E[NQ]"
"632",197,"Big 12",1364.22,"cons 32","E[NQ]"
"635",197,"Big Ten",1346.76,"cons 24","E[cons 24]"
"641",197,"Big Ten",1420.78,"AA","E[AA]"
"642",197,"Big Ten",1424.86,"AA","E[AA]"
"643",197,"Big Ten",1346.14,"cons 24","E[cons 24]"
"644",197,"Big Ten",1328.63,"cons 16","E[cons 24]"
"646",197,"Big Ten",1363.97,"cons 12","E[NQ]"
"647",197,"EIWA",1401.05,"cons 24","E[AA]"
"649",197,"EIWA",1324.03,"cons 24","E[cons 32]"
"651",197,"EIWA",1461.4,"AA","E[AA]"
"653",197,"EIWA",1387.1,"cons 24","E[cons 12]"
"654",197,"EIWA",1363.14,"cons 24","E[cons 16]"
"655",197,"EIWA",1395.06,"cons 12","E[AA]"
"661",197,"EIWA",1389.36,"cons 12","E[cons 12]"
"663",197,"EWL",1298.83,"cons 32","E[NQ]"
"671",197,"MAC",1310.07,"cons 32","E[cons 32]"
"673",197,"MAC",1367.74,"AA","E[cons 12]"
"676",197,"MAC",1402.36,"AA","E[AA]"
"679",197,"Pac 12",1340.38,"cons 33","E[cons 24]"
"680",197,"Pac 12",1282.98,"cons 24","E[NQ]"
"681",197,"Pac 12",1353.18,"cons 16","E[NQ]"
"682",197,"Pac 12",1363.97,"cons 16","E[cons 16]"
"683",197,"SoCon",1346.98,"cons 32","E[cons 24]"
"684",197,"SoCon",1289.91,"cons 32","E[NQ]"
"690",197,"SoCon",1272.51,"cons 32","E[NQ]"
"692",285,"ACC",1361.53,"cons 24","E[cons 16]"
"693",285,"ACC",1332.08,"cons 24","E[cons 24]"
"694",285,"ACC",1227.7,"cons 32","E[NQ]"
"695",285,"ACC",1424.18,"AA","E[AA]"
"696",285,"ACC",1240.21,"cons 32","E[NQ]"
"697",285,"ACC",1355.6,"cons 24","E[cons 24]"
"698",285,"Big 12",1323.13,"cons 32","E[cons 24]"
"703",285,"Big 12",1356.21,"cons 32","E[cons 24]"
"708",285,"Big 12",1369.95,"cons 12","E[cons 16]"
"710",285,"Big Ten",1502.12,"AA","E[AA]"
"712",285,"Big Ten",1366.21,"AA","E[cons 16]"
"713",285,"Big Ten",1335.59,"cons 32","E[cons 24]"
"716",285,"Big Ten",1420.64,"AA","E[AA]"
"719",285,"Big Ten",1521.07,"AA","E[AA]"
"720",285,"Big Ten",1400.25,"AA","E[AA]"
"722",285,"Big Ten",1332,"cons 16","E[cons 24]"
"728",285,"EIWA",1302.76,"cons 33","E[cons 32]"
"731",285,"EIWA",1420.61,"AA","E[AA]"
"733",285,"EIWA",1292.01,"cons 24","E[NQ]"
"735",285,"EIWA",1371.08,"cons 24","E[cons 12]"
"737",285,"EIWA",1310.36,"cons 24","E[cons 32]"
"738",285,"EIWA",1375.96,"cons 12","E[cons 12]"
"742",285,"EWL",1388.44,"cons 16","E[cons 12]"
"744",285,"EWL",1372.1,"cons 16","E[NQ]"
"745",285,"EWL",1320.35,"cons 24","E[cons 24]"
"747",285,"MAC",1306.36,"cons 32","E[cons 32]"
"748",285,"MAC",1313.85,"cons 32","E[cons 32]"
"751",285,"MAC",1324.63,"cons 32","E[cons 24]"
"752",285,"MAC",1299.44,"cons 24","E[cons 32]"
"754",285,"Pac 12",1388.48,"cons 12","E[cons 12]"
"755",285,"Pac 12",1420.42,"AA","E[AA]"
"757",285,"Pac 12",1409.68,"cons 16","E[AA]"
"761",285,"SoCon",1361.56,"cons 12","E[cons 16]"
