Weight,Rank,Name,Year,School,State,College,Previous
120,3,Yianni Diakomihalis,So.,Hilton,NY,Cornell,3
120,4,Daton Fix,So.,Sand Springs,OK,,4
120,5,Kyle Norstrem,Jr.,Brandon,FL,Virginia Tech '16,5
120,6,Jack Mueller,Jr.,Wyoming Seminary,PA,Virginia '16,6
120,7,Elijah Oliver,Sr.,Washington,IL,Indiana,7
120,8,D.J. Lloren,Jr.,Buchanan,CA,,8
120,9,Devin Schroder,Jr.,Grand Rapids CC,MI,Purdue,9
120,10,Eli Stickley,Sr.,St. Paris Graham,OH,Wisconsin,10
120,11,Ty Agaisse,Jr.,Delbarton,NJ,Princeton '16,11
120,12,Ben Freeman,So.,Walled Lake,MI,,13
120,13,Montorie Bridges,Jr.,Altus,OK,,14
120,14,Kaden Gfeller,So.,Heritage Hall,OK,,15
120,15,Michael Cullen,Sr.,Cary Grove,IL,Wisconsin,NR
120,16,Tyler Warner,Jr.,Claymont,OH,,12
120,17,Travis Torres,Sr.,Pomona,CO,,19
120,18,Alex Mackall,Jr.,Walsh Jesuit,OH,Rutgers,NR
120,19,Alex Madrigal,Sr.,Oak Park-River Forest,IL,Old Dominion,17
120,20,Jake Newhouse,Jr.,Perry,OH,,18
126,1,Chad Red,Jr.,Palestine,IN,,1
126,2,Nick Piccninni,Sr.,Ward Melville,NY,Oklahoma State,2
126,3,Rudy Yates,Jr.,Carl Sandburg,IL,,5
126,4,Mitchell McKee,Jr.,St. Michael-Albertville,MN,Minnesota '16,3
126,5,Markus Simmons,Sr.,Broken Arrow,OK,Iowa State,6
126,6,Sean DeShazer,Sr.,Wichita Heights,KS,Oklahoma,8
126,7,Eli Seipel ,Sr.,St. Paris Graham,OH,Pittsburgh,10
126,8,Luke Karam,Jr.,Bethlehem Catholic,PA,Bucknell,12
126,9,Jose Rodriguez,Sr.,Massillion Perry,OH,Ohio State,13
126,10,Israel Saavedra,Jr.,Modesto,CA,,4
126,11,Austin Assad,Sr.,Brecksville,OH,Michigan,7
126,12,Taylor LaMont,Jr.,Maple Mountain,UT,,14
126,13,Kris Williams,Sr.,Thornwood,IL,Illinois,15
126,14,Doyle Trout,Sr.,Centennial,NE,Wyoming,16
126,15,Nolan Hellickson,Sr.,Southeast Polk,IA,Harvard,17
126,16,Ben Lamantia,Sr.,St. Anthonys,NY,Michigan,18
126,17,Anthony Cefolo,Sr.,Hanover Park,NJ,South Dakota State,11
126,18,Hunter Marko,Jr.,Amery,WI,Wisconsin,HM
126,19,Cody Karstetter,Sr.,Sand Springs,OK,,NR
126,20,Ryan Pomrinca,Sr.,North Hunterdon,NJ,Lehigh,19
132,1,Jared Prince,Sr.,Palm Harbor,FL,Navy,3
132,2,Kaid Brock,Sr.,Stillwater,OK,Oklahoma State,2
132,3,A.C. Headlee,Sr.,Waynesburg,PA,North Carolina,4
132,4,Luke Pletcher,Jr.,Greater Latrobe,PA,,1
132,5,Kegan Moore,Sr.,Putnam City,OK,West Virginia,5
132,6,Mickey Phillipi,Jr.,Derry Area,PA,,6
132,7,Nick Lee,So.,Evansville,IN,,7
132,8,Cameron Kelly,Sr.,Bellbrook,OH,Ohio,8
132,9,Chaz Tucker,Sr.,Blair Academy,NJ,Cornell,9
132,10,Lincoln Olson,Sr.,Davison,MI,Oklahoma State,10
132,11,Dylan Lucas,Sr.,Plainview,OK,Oklahoma,11
132,12,Rico Montoya,Sr.,Robertson,NM,Northern Colorado,12
132,13,Vitali Arujau,So.,Syosset,NY,,13
132,14,Austin O'Connor,So.,St. Rita,IL,,14
132,15,Korbin Myers,Sr.,Boiling Springs,PA,Edinboro,15
132,16,Kanen Storr,Jr.,Lesie,MI,,18
132,17,Julian Flores,Jr.,San Marino,CA,,HM
132,18,Jaden Enriquez,So.,Mission Oak,CA,,17
132,19,Hunter Ladnier ,Jr.,St. Edward,OH,,16
132,20,Juaquin Olivas,Sr.,Sunnyside,AZ,Grand Canyon,HM
138,1,Matt Kolodzik,Sr.,Blair Academy,NJ,Princeton,2
138,2,Ke-Shawn Hayes,Sr.,Park Hill,MO,Ohio State,3
138,3,Nate Limmex,Sr.,Grand Rapids CC,MI,Purdue,5
138,4,Davion Jeffries,Sr.,Broken Arrow,OK,Oklahoma,7
138,5,Sam Krivus,Sr.,Hempfield Area,PA,Virginia,1
138,6,Cameron Coy,So.,Penn Trafford,PA,Virginia,6
138,7,Boo Lewallen,Sr.,Yukon,OK,Oklahoma State,13
138,8,Will Roark,Sr.,Seneca,MO,Missouri,4
138,9,Ben Brancale,Sr.,Eden Prairie,MN,Minnesota,9
138,10,Brandon James,Sr.,Perry Meridian,IN,Old Dominion,11
138,11,Carter Happel,Jr.,Lisbon,IA,,12
138,12,Jaydin Clayton,Sr.,Fulton,MO,Missouri,14
138,13,Wyatt Wickoff,Sr.,Paradise,CA,Army,HM
138,14,Alex Rich,Sr.,Crescent Valley,OR,Oregon State,15
138,15,McCoy Kent,Sr.,Enoch,CA,Northern Illinois,10
138,16,David Carr,Fr.,Dayton Christian,OH,,17
138,17,Richie Screptock,Sr.,Oregon Clay,OH,Central Michigan,18
138,18,Ethan Karsten,Jr.,Platte City,MO,,19
138,19,Frankie Gissendanner,Fr.,Penfield,NY,,HM
138,20,Mike D’Angelo,Sr.,Commack,NY,Princeton,16
145,1,Michael Kemerer,Sr.,Franklin Regional,PA,Iowa,3
145,2,Max Thomsen,Sr.,Union Community,IA,Northern Iowa,1
145,3,Fredy Stroker,Sr.,Bettendorf,IA,Minnesota,2
145,4,Patrick Duggan,Sr.,Cumberland Valley,PA,West Virginia,5
145,5,Larry Early,Sr.,Oak Park-River Forest,IL,Minnesota,4
145,6,Hayden Hidlay,Jr.,Mifflin County,PA,NC State '16,6
145,7,Griffin Parriott,Jr.,New Prague,MN,,8
145,8,Brent Moore,Jr.,St. Paris Graham,OH,,10
145,9,Eric Barone,Sr.,Crystal Lake South,IL,Illinois,NR
145,10,Zach Moore,Sr.,Putnam City,OK,West Virginia,HM
145,11,Wade Hodges,Sr.,Wauseon ,OH,Maryland,7
145,12,Ralph Tovar,Sr.,Poway,CA,Grand Canyon,12
145,13,Bryce Parson,Sr.,Lewiston,ID,Oregon State,14
145,14,Tristan Moran,Sr.,Stillwater,OK,Oklahoma State,13
145,15,Tommy Dutton,Sr.,Rocky Point,NY,Harvard,17
145,16,Zander Wick,Jr.,San Marino,CA,,20
145,17,Tristan Rifanburg,Sr.,Norwich,NY,Binghamton,18
145,18,Alec Donovan ,Sr.,Brick Memorial,NJ,,HM
145,19,Jared Verkleeren,So.,Belle Vernon,PA,,16
145,20,Jeremy Thomas,Jr.,Santiago,CA,,HM
152,1,Isaiah White,Jr.,Oak Park-River Forest,IL,,1
152,2,Vincenzo Joseph,Sr.,Pittsburgh CC,PA,Penn State,2
