Weight,Last,First,Conference,Finish,ELO
149,Buckiso,Tyler,SoCon,NQ,1325.9
149,Conroy,Aiden,SoCon,NQ,
149,Lawrence,Will,SoCon,NQ,
149,Londoff,Gavin,SoCon,NQ,
149,Williams,Tyshawn,SoCon,cons 32,1289.42
149,Barczak, Evan,,NQ,1328.7
149,Carter,Kenan,,NQ,1325.59
149,Keating, Jake,,NQ,1365.52
157,Finesilver,Mitch,ACC,cons 16,1403.95
157,Green,Fred,ACC,NQ,
157,Hidlay,Hayden,ACC,2,1483.14
157,LaPrade,BC,ACC,NQ,
157,Monday,Kennedy,ACC,cons 12,1384.34
157,Rahmani,Taleb,ACC,cons 24,1382.65
157,Colgan,Archie,Big 12,cons 24,1379.21
157,Gaxiola,Greg,Big 12,NQ,
157,Kinn,Tyler,Big 12,NQ,
157,Lofthouse,Raider,Big 12,NQ,
157,Moore,Zach,Big 12,NQ,
157,Moran, Tristan,Big 12,NQ,1371.91
157,Mossing,Alex,Big 12,NQ,
157,Ream,Clayton,Big 12,cons 24,1382.26
157,Ryan,Logan,Big 12,NQ,
157,Straw,Chase,Big 12,NQ,
157,Thomas,Justin,Big 12,NQ,
157,Zilverberg,Luke,Big 12,8,1369.83
157,Alexander,Justin,Big Ten,NQ,
157,Berger,Tyler,Big Ten,3,1431.11
157,Crone,Andrew,Big Ten,cons 24,1390.13
157,Danishek,Jake,Big Ten,NQ,
157,Jordan,Micah,Big Ten,6,1470.37
157,Kemerer,Michael,Big Ten,4,1504.98
157,Langenderfer,Kyle,Big Ten,NQ,1354.66
157,Nolf,Jason,Big Ten,1,1549.47
157,Oster,Shayne,Big Ten,NQ,
157,Pantaleo,Alec,Big Ten,5,1436.88
157,Parriot,Griffin,Big Ten,NQ,
157,Short,Jake,Big Ten,cons 16,1384.37
157,Tucker,Jake,Big Ten,NQ,
157,Van Brill,John,Big Ten,cons 12,1392.23
157,Bassolino,Christian,EIWA,NQ,
157,Brown,Ian,EIWA,cons 24,1366.58
157,D`Angelo,Mike,EIWA,cons 32,1380.31
157,Davis,Zachary,EIWA,NQ,1364.84
157,Hammond,Garett,EIWA,cons 24,1393.52
157,Hong,Eric,EIWA,NQ,
157,Klee, Paul,EIWA,NQ,1358.86
157,LiCastri,Emmett,EIWA,NQ,
157,Mauriello,Chris,EIWA,NQ,
157,Rifanburg,Tristan,EIWA,NQ,
157,Scheidel,Markus,EIWA,cons 16,1398.8
157,Staudenmayer,Justin,EIWA,cons 32,1368.44
157,Stroker,Fredy,EIWA,NQ,
157,Velliquette,Joseph,EIWA,cons 24,1351.82
157,Weiland,Luke,EIWA,cons 16,1381.89
157,Wilson,Brock,EIWA,NQ,
157,Clagon,Bryant,EWL,NQ,
157,Klucker,Alex,EWL,cons 32,1348.48
157,Laubach,Kevin,EWL,NQ,
157,Shay,Avery,EWL,NQ,
157,Shomers,Andrew,EWL,cons 32,1357.51
157,Vaughn,J,EWL,NQ,
157,Yorkdale,Ryan,EWL,NQ,
157,Cummings,Cullen,MAC,NQ,
157,Early,Larry,MAC,cons 24,1348.99
157,Fasnacht,Eric,MAC,NQ,
157,Heffernan,Colin,MAC,cons 32,1376.87
157,Lavallee,Joey,MAC,cons 12,1444.61
157,McWhirter,Caden,MAC,NQ,
157,Sparkman,Casey,MAC,cons 32,1327.40
157,Wolf,James,MAC,NQ,
157,Fox,Paul,Pac 12,cons 12,1371.7
157,Hammond,Coleman,Pac 12,cons 32,1374.16
157,Moy,Jett,Pac 12,NQ,
157,Shields,Joshua,Pac 12,7,1440.47
157,Willits,Hunter,Pac 12,cons 32,1364.97
157,Adcock,Jake,SoCon,NQ,
157,Kraisser,Austin,SoCon,NQ,
157,Marinelli,Tyler,SoCon,cons 33,1349.61
157,Midkiff,Steven,SoCon,NQ,
157,Najar,Angel,SoCon,NQ,
157,Palumbo,Tony,SoCon,NQ,
157,Phillips,Ethan,SoCon,NQ,
157,Van Velsor,Karsten,SoCon,NQ,
157,Blaylock,Jonce,,NQ,
157,Chishko,Solomon,,NQ,1388.45
157,Clagon,Bryant,,NQ,1381.09
157,Mossing,Alex,,NQ,
157,Wilson,Brock,,NQ,1383.24
165,Atkinson,Andrew,ACC,cons 24,1365.6
165,Finesilver,Zach,ACC,cons 32,1351.19
165,Hamann,Brian,ACC,NQ,1353.79
165,McClure,Josh,ACC,NQ,
165,McFadden,David,ACC,5,1467.48
165,Wentzel,Jake,ACC,NQ,1377.55
165,Ashworth,Branson,Big 12,cons 16,1401.23
165,Barnes,Dawaylon,Big 12,cons 32,1366.55
165,Fogarty,Andrew,Big 12,cons 24,1359.57
165,Kiussis,Nick,Big 12,NQ,
165,Lopouchanski,Alex,Big 12,NQ,
165,Patton,Isaiah,Big 12,NQ,
165,Peterson,Logan,Big 12,NQ,
165,Rogers,Chandler,Big 12,8,1442.52
165,Romero,Demetrius,Big 12,cons 24,1309.42
165,St. John,Skyler,Big 12,NQ,
165,Torres,Keilan,Big 12,cons 24,1345.52
165,Burnham,Brendan,Big Ten,NQ,
165,Campbell,Te`shan,Big Ten,cons 16,1391.54
165,Hiles,Austin,Big Ten,NQ,
165,Joseph,Vincenzo,Big Ten,1,1485.34
165,Lewis,Richie,Big Ten,cons 12,1436.88
165,Marinelli,Alex,Big Ten,6,1421.35
165,Martin,Bryce,Big Ten,cons 32,1317.56
165,Martinez,Isaiah,Big Ten,2,1522.84
165,Massa,Logan,Big Ten,cons 24,1469.33
165,Morrissey,Jacob,Big Ten,cons 32,1322.45
165,Sepke,Mike,Big Ten,NQ,
165,Wanzek,Nicholas,Big Ten,cons 12,1395.27
165,White,Isaiah,Big Ten,cons 12,1447.74
165,Wick,Evan,Big Ten,3,1467.33
165,Bethea,May,EIWA,cons 33,1382.2
165,Chavez,Jonathon,EIWA,7,1423.94
165,Conners,Jacob,EIWA,NQ,
165,Daniels,Drew,EIWA,cons 16,1344.31
165,Deprez,Vincent,EIWA,NQ,1351.68
165,Hollingshead,DJ,EIWA,NQ,1314.55
165,Jarrell,Ebed,EIWA,NQ,1349.3
165,Kosoy,Laurence,EIWA,NQ,
165,Mendel,Andrew,EIWA,NQ,1342.5
165,Schleifer,Jonathan,EIWA,cons 32,1368.24
165,Schmidt,Will,EIWA,NQ,
165,Stamm,Ricky,EIWA,NQ,
165,Tarsi,Tyler,EIWA,NQ,
165,Viruet,Jonathan,EIWA,cons 24,1346.24
165,Wokasch,Anthony,EIWA,NQ,
165,Wolf,Gordon,EIWA,cons 24,1366.99
165,Griffith,Garrett,EWL,NQ,
165,Hoehn,Fritz,EWL,NQ,
165,Marsteller,Chance,EWL,4,1433.82
165,Newberry,Nate,EWL,NQ,
165,Poullas,George,EWL,NQ,
165,Walsh,Chad,EWL,cons 12,1470.54
165,Wohlabaugh,Max,EWL,NQ,
165,Bast,Isaac,MAC,NQ,
165,Carson,Zachary,MAC,cons 32,1312.98
165,Flynn,Connor,MAC,cons 24,1365.55
165,Grover,Noah,MAC,NQ,
165,Jones,Shane,MAC,NQ,
165,Parks,Logan,MAC,NQ,1314.75
165,Scott,Andrew,MAC,NQ,
165,Terry,Joe,MAC,NQ,
165,De La Riva,Lorenzo,Pac 12,NQ,
165,Farina,Ryan,Pac 12,NQ,
165,Hill,Jared,Pac 12,NQ,
165,Valencia,Anthony,Pac 12,cons 16,1443.66
165,Williams,Rodney,Pac 12,NQ,
165,Cook, Laken,SoCon,NQ,1357.01
165,Costa,Hunter,SoCon,NQ,
165,Curtis,Houston,SoCon,NQ,
165,Higgins,Nate,SoCon,cons 32,1300.11
165,Hohman,Blake,SoCon,NQ,
165,Perez,Quentin,SoCon,cons 32,1339.69
165,Pyke,Chad,SoCon,NQ,1325.23
165,Stein,Brett,SoCon,NQ,
174,Bolen,Hunter,ACC,cons 32,1374.13
174,Bullard,Daniel,ACC,cons 24,1395.03
174,Finesilver,Matt,ACC,cons 24,1376.51
174,O’Brien,Tommy,ACC,NQ,
174,Ramos,Ethan,ACC,cons 16,1413.19
174,Schany,Will,ACC,cons 33,1307.74
174,Bastian,Kimball,Big 12,cons 24,1337.72
174,Billingsly,Michael,Big 12,NQ,
174,Bogulski,Seth,Big 12,NQ,
174,Bush,Danny,Big 12,NQ,
174,Kincaid,Dominic,Big 12,NQ,
174,Kocer,David,Big 12,7,1387.97
174,Lujan,Taylor,Big 12,cons 12,1413.14
174,Mejias,Yoanse,Big 12,cons 24,1375.52
174,Pope,Kyle,Big 12,NQ,
174,Smith,Jacobe,Big 12,8,1412.81
174,Urbach,Dylan,Big 12,NQ,
174,VonEgidy,Parker,Big 12,NQ,
174,Amine,Myles,Big Ten,3,1467.78
174,Breske,Beau,Big Ten,NQ,
174,Christensen,Ryan,Big Ten,cons 24,1344.23
174,Grello,Joe,Big Ten,NQ,1355.77
174,Gunther,Joseph,Big Ten,cons 32,1327.22
174,Hall,Mark,Big Ten,2,1546.21
174,Jordan,Bo,Big Ten,5,1492.24
174,Lydy,Dylan,Big Ten,cons 12,1372.59
174,Pfarr,Christopher,Big Ten,NQ,
174,Ritchie,Logan,Big Ten,NQ,
174,Rojas,David,Big Ten,NQ,
174,Sebastian,Johnny,Big Ten,cons 16,1391.72
174,Skatzka,Devin,Big Ten,cons 32,1368.9
174,Ugalde,Josh,Big Ten,NQ,
174,Bernstein,Jadaen,EIWA,cons 12,1388.89
174,Eckhart,Michael,EIWA,NQ,
174,Gancayco,Matthew,EIWA,NQ,
174,Grosso,Thomas,EIWA,NQ,
174,Harvey,Ben,EIWA,cons 12,1350.03
174,Heller,Sage,EIWA,NQ,
174,Hiles,Quinton,EIWA,NQ,
174,Johnson,Josef,EIWA,cons 16,1351.48
174,Kutler,Jordan,EIWA,6,1423.24
174,Lombardo,Anthony,EIWA,NQ,
174,Rogers,Bryce,EIWA,NQ,
174,Rose,Austin,EIWA,cons 32,1336.7
174,Stephani,Nick,EIWA,NQ,
174,White,Tyrel,EIWA,cons 32,1342.91
174,Womack,Brandon,EIWA,cons 32,1385.26
174,Young,Josh,EIWA,NQ,
174,Higgins,Levko,EWL,NQ,
174,Murphy,Kyle,EWL,NQ,
174,Rigous,Dom,EWL,NQ,
